model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_compound,days_heat_only,days_wind_only
four_weather_regimes,Philadelphia,compound_vs_reference,2.0403250048765154,1.2103168000090094,2.8703332097440213,approximate_delete_one_year_jackknife_t,1.4964883671235838,2.549646833749812,conditional_on_estimability,5000,5975,1284,6,1435,35,14,6,14,14,169.90264364153632,3.3983455269814935,79,161,322
four_weather_regimes,Philadelphia,heat_only_vs_reference,0.9246795667314783,0.23410771519586526,1.6152514182670914,approximate_delete_one_year_jackknife_t,0.4752624080681135,1.3248230621213997,conditional_on_estimability,5000,5975,1284,6,1435,35,14,6,14,14,169.90264364153632,3.3983455269814935,79,161,322
four_weather_regimes,Philadelphia,wind_only_vs_reference,2.014243603715412,1.4137041409693492,2.6147830664614746,approximate_delete_one_year_jackknife_t,1.6691013046561574,2.456209899895218,conditional_on_estimability,5000,5975,1284,6,1435,35,14,6,14,14,169.90264364153632,3.3983455269814935,79,161,322
four_weather_regimes,Philadelphia,compound_additive_interaction,-0.8985981655703749,-1.8858200672340515,0.08862373609330187,approximate_delete_one_year_jackknife_t,-1.4829475333073936,-0.29163858397230125,conditional_on_estimability,5000,5975,1284,6,1435,35,14,6,14,14,169.90264364153632,3.3983455269814935,79,161,322
four_weather_regimes,Phoenix,compound_vs_reference,2.4565505739343925,1.0570428830723206,3.8560582647964643,approximate_delete_one_year_jackknife_t,1.65593867756189,3.6546022193543575,conditional_on_estimability,5000,5991,1284,6,1414,16,8,6,14,14,380.9543501014486,2.863501787567538,50,240,334
four_weather_regimes,Phoenix,heat_only_vs_reference,-0.06951568111482898,-1.0854480429230013,0.9464166806933434,approximate_delete_one_year_jackknife_t,-0.7568389206463828,0.7025545590125744,conditional_on_estimability,5000,5991,1284,6,1414,16,8,6,14,14,380.9543501014486,2.863501787567538,50,240,334
four_weather_regimes,Phoenix,wind_only_vs_reference,3.1824963847648697,2.8260478595798912,3.5389449099498482,approximate_delete_one_year_jackknife_t,2.939993182955444,3.4205380364932383,conditional_on_estimability,5000,5991,1284,6,1414,16,8,6,14,14,380.9543501014486,2.863501787567538,50,240,334
four_weather_regimes,Phoenix,compound_additive_interaction,-0.6564301297156483,-1.4986910774984654,0.18583081806716872,approximate_delete_one_year_jackknife_t,-1.1274354180908388,0.09797496137210404,conditional_on_estimability,5000,5991,1284,6,1414,16,8,6,14,14,380.9543501014486,2.863501787567538,50,240,334
four_weather_regimes,San Diego,compound_vs_reference,2.1637357673259014,1.2242009265552176,3.1032706080965853,approximate_delete_one_year_jackknife_t,1.4581142283852127,2.619681327082316,conditional_on_estimability,5000,5051,1284,5,1198,78,28,6,14,14,582.7489134522918,1.659752833097398,114,136,328
four_weather_regimes,San Diego,heat_only_vs_reference,0.698142982552654,-0.032936109794453605,1.4292220748997615,approximate_delete_one_year_jackknife_t,0.08638863980748135,1.0648803545318193,conditional_on_estimability,5000,5051,1284,5,1198,78,28,6,14,14,582.7489134522918,1.659752833097398,114,136,328
four_weather_regimes,San Diego,wind_only_vs_reference,1.212305277703846,0.8905444249851503,1.5340661304225418,approximate_delete_one_year_jackknife_t,0.9369952249043096,1.4314137617642866,conditional_on_estimability,5000,5051,1284,5,1198,78,28,6,14,14,582.7489134522918,1.659752833097398,114,136,328
four_weather_regimes,San Diego,compound_additive_interaction,0.2532875070694014,-0.3201220220137907,0.8266970361525935,approximate_delete_one_year_jackknife_t,-0.1402067530135256,0.6361975237878011,conditional_on_estimability,5000,5051,1284,5,1198,78,28,6,14,14,582.7489134522918,1.659752833097398,114,136,328
four_weather_regimes,Seattle,compound_vs_reference,7.655388164836056,4.415136795272794,10.895639534399319,approximate_delete_one_year_jackknife_t,5.8577296615790715,10.249860132873932,conditional_on_estimability,5000,2447,1282,2,587,39,15,6,14,14,542.2085350855903,3.355977126384195,106,168,263
four_weather_regimes,Seattle,heat_only_vs_reference,3.467943430410873,1.347720756669522,5.588166104152224,approximate_delete_one_year_jackknife_t,2.0859697347028265,4.8162816356704825,conditional_on_estimability,5000,2447,1282,2,587,39,15,6,14,14,542.2085350855903,3.355977126384195,106,168,263
four_weather_regimes,Seattle,wind_only_vs_reference,3.5560359570962494,3.2256682785008906,3.8864036356916083,approximate_delete_one_year_jackknife_t,3.28502530197051,3.775339408719325,conditional_on_estimability,5000,2447,1282,2,587,39,15,6,14,14,542.2085350855903,3.355977126384195,106,168,263
four_weather_regimes,Seattle,compound_additive_interaction,0.6314087773289341,-1.5437240831043084,2.8065416377621766,approximate_delete_one_year_jackknife_t,-0.7062089196132009,2.1375947004633664,conditional_on_estimability,5000,2447,1282,2,587,39,15,6,14,14,542.2085350855903,3.355977126384195,106,168,263
