model,contrast,status,estimate_ppb,ci_lower,ci_upper,ci_method,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,n_cities,n_estimable_cities,positive_cities,valid_bootstrap,requested_bootstrap,bootstrap_failure_fraction,leave_city_min,leave_city_max,year_start,year_end,station_days,city_days,episode_city_days,episodes,synchronized_conditional_lower,synchronized_conditional_upper,synchronized_valid_bootstrap
equal_station_weights,heat_only_vs_reference,estimable,0.5192745917660683,-0.28861123419831614,1.3271604177304526,approximate_cross_city_t_df_10,-0.1545961600428312,1.2890818978047331,conditional_on_estimability,11,11,8,5000,5000,0.0,0.24044181094069222,0.689055098250835,2019,2024,69326,14122,577,195,-0.2749750906364173,1.2968764434003177,5000.0
equal_station_weights,wind_only_vs_reference,estimable,2.8641398070372306,2.0908176963401,3.637461917734361,approximate_cross_city_t_df_10,2.2094154071974,3.5171768402580548,conditional_on_estimability,11,11,11,5000,5000,0.0,2.6892479580116175,3.0308765753653235,2019,2024,69326,14122,577,195,2.1903877758610375,3.520656143276531,5000.0
equal_station_weights,other_compound_vs_reference,estimable,2.769342239587338,1.4761180888829128,4.062566390291763,approximate_cross_city_t_df_10,1.7589944057223705,4.037787987582905,conditional_on_estimability,11,11,11,5000,5000,0.0,2.2917436115816194,2.9386105699589864,2019,2024,69326,14122,577,195,1.6733004598429495,4.156217332776273,5000.0
equal_station_weights,episode_vs_heat_only,estimable,2.792842085100189,2.0559637055650386,3.5297204646353393,approximate_cross_city_t_df_10,2.060218009835325,3.5283165050991747,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.626623020883589,2.9519231757590516,2019,2024,69326,14122,577,195,2.0272713806779037,3.577979142033514,4999.0
equal_station_weights,episode_vs_wind_only,estimable,0.4479768698290265,-0.5094324365355681,1.405386176193621,approximate_cross_city_t_df_10,-0.41011648573289033,1.4142474646624579,conditional_on_estimability,11,11,9,4989,5000,0.0021999999999999797,0.09724238202593796,0.6919389484703566,2019,2024,69326,14122,577,195,-0.5150879227831263,1.4036734599294798,4999.0
all_consecutive_episodes,episode_vs_reference,estimable,3.244355054958453,2.1341948142573552,4.354515295659551,approximate_cross_city_t_df_10,2.3119343964000687,4.339751971008064,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.8559872237323454,3.388694226962398,2019,2024,69326,14122,577,195,2.263300814102217,4.407775053466633,4999.0
all_consecutive_episodes,heat_only_vs_reference,estimable,0.5280842004097169,-0.30821554949884766,1.3643839503182815,approximate_cross_city_t_df_10,-0.15893943713818856,1.3234696853039765,conditional_on_estimability,11,11,8,5000,5000,0.0,0.236970703430692,0.7032201503604388,2019,2024,69326,14122,577,195,-0.28448050427846383,1.324520708038214,5000.0
all_consecutive_episodes,wind_only_vs_reference,estimable,2.8712569957109157,2.0953449022295016,3.64716908919233,approximate_cross_city_t_df_10,2.216913263312729,3.526207026825829,conditional_on_estimability,11,11,11,5000,5000,0.0,2.6974937764484563,3.0372494382554422,2019,2024,69326,14122,577,195,2.197654111431292,3.525441259709799,5000.0
all_consecutive_episodes,other_compound_vs_reference,estimable,2.768608286071817,1.35868780871193,4.178528763431704,approximate_cross_city_t_df_10,1.684606600891807,4.152166480126333,conditional_on_estimability,11,11,11,4999,5000,0.00019999999999997797,2.246210306389389,2.9390175001905936,2019,2024,69326,14122,577,195,1.6110991436690951,4.214661914050164,5000.0
all_consecutive_episodes,episode_vs_heat_only,estimable,2.716270854548736,1.9770887137289161,3.4554529953685558,approximate_cross_city_t_df_10,1.967199409099282,3.445628872994632,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.5597749867320863,2.8760456742995255,2019,2024,69326,14122,577,195,1.9256192819475078,3.517151831913903,4999.0
all_consecutive_episodes,episode_vs_wind_only,estimable,0.37309805924753675,-0.49103394342793766,1.2372300619230112,approximate_cross_city_t_df_10,-0.4129577117352362,1.2977906347866843,conditional_on_estimability,11,11,9,4989,5000,0.0021999999999999797,0.05361030096640858,0.5883621375372534,2019,2024,69326,14122,577,195,-0.5426619994616272,1.3047309380559455,4999.0
four_weather_regimes,compound_vs_reference,estimable,3.0524744270801234,1.7962494594676306,4.308699394692616,approximate_cross_city_t_df_10,2.081658143749761,4.262907722046061,conditional_on_estimability,11,11,11,5000,5000,0.0,2.59218305330453,3.2312662440519673,2019,2024,69326,14122,577,195,2.040021299605833,4.302859137602504,5000.0
four_weather_regimes,heat_only_vs_reference,estimable,0.5362372669789468,-0.3043984489932763,1.3768729829511699,approximate_cross_city_t_df_10,-0.15909047331171713,1.332359070093152,conditional_on_estimability,11,11,8,5000,5000,0.0,0.24306665063575422,0.7138092640040381,2019,2024,69326,14122,577,195,-0.27985421416268613,1.3346386227337173,5000.0
four_weather_regimes,wind_only_vs_reference,estimable,2.869421798905568,2.09364562944994,3.6451979683611957,approximate_cross_city_t_df_10,2.2147913960867256,3.523330763727846,conditional_on_estimability,11,11,11,5000,5000,0.0,2.6955349017670445,3.0351334510257404,2019,2024,69326,14122,577,195,2.1971645678617255,3.5237136819702775,5000.0
four_weather_regimes,compound_additive_interaction,estimable,-0.3531846388043915,-0.7305963937404729,0.024227116131689874,approximate_cross_city_t_df_10,-0.7711354313183428,0.09407450619824206,conditional_on_estimability,11,11,3,5000,5000,0.0,-0.451643980417724,-0.27371030495402243,2019,2024,69326,14122,577,195,-0.8840264925557043,0.11040105871153379,5000.0
phase_calendar,episode_vs_reference,estimable,3.425497052435414,2.3138830004507747,4.5371111044200525,approximate_cross_city_t_df_10,2.3496621805899887,4.519806504001057,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,3.1958832850882675,3.694295404536264,2019,2024,69326,14122,577,195,2.295093498010468,4.550215482328431,4999.0
phase_calendar,pre1_6_vs_reference,estimable,0.37976553427410076,-0.11918863033209653,0.8787196988802981,approximate_cross_city_t_df_10,-0.15383179407354083,1.0054193993664269,conditional_on_estimability,11,11,9,4989,5000,0.0021999999999999797,0.27703598599467794,0.4885176204882174,2019,2024,69326,14122,577,195,-0.20080761417840673,1.0671759282395994,4999.0
phase_calendar,post1_2_vs_reference,estimable,0.2050334128332726,-0.2739045639286617,0.6839713895952069,approximate_cross_city_t_df_10,-0.3305680552443764,0.788249402537473,conditional_on_estimability,11,11,6,4989,5000,0.0021999999999999797,0.088293574718089,0.33344774578822867,2019,2024,69326,14122,577,195,-0.41322100817864355,0.9059461990792762,4999.0
phase_calendar,post3_6_vs_reference,estimable,-0.3257452531719718,-1.017274024618458,0.3657835182745143,approximate_cross_city_t_df_10,-1.0704318097703185,0.46042046993409996,conditional_on_estimability,11,11,6,4989,5000,0.0021999999999999797,-0.44586493753387435,-0.1518572215230966,2019,2024,69326,14122,577,195,-1.1828621884386104,0.5869949229650786,4999.0
phase_calendar,other_compound_vs_reference,estimable,2.737415637572281,1.5345784558097508,3.9402528193348116,approximate_cross_city_t_df_10,1.7805010534625416,3.937319174469988,conditional_on_estimability,11,11,11,5000,5000,0.0,2.3740525971938906,2.945261450466056,2019,2024,69326,14122,577,195,1.7333122722204937,4.0005077098891215,5000.0
phase_adjusted,episode_vs_reference,estimable,2.2978686002886106,1.4571099060906647,3.1386272944865565,approximate_cross_city_t_df_10,1.536254542340713,3.2058663038110238,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,1.9867791985590793,2.4418588923009525,2019,2024,69326,14122,577,195,1.4700461021104316,3.2273649492949086,4999.0
phase_adjusted,pre1_6_vs_reference,estimable,0.16134416387913075,-0.1633624526169356,0.4860507803751971,approximate_cross_city_t_df_10,-0.22986382812007064,0.6595470524329834,conditional_on_estimability,11,11,6,4989,5000,0.0021999999999999797,0.08257084746162666,0.24987986172908502,2019,2024,69326,14122,577,195,-0.27103682870502144,0.7283364283248335,4999.0
phase_adjusted,post1_2_vs_reference,estimable,0.01575008627468135,-0.3697868244398971,0.40128699698925974,approximate_cross_city_t_df_10,-0.41477917484094745,0.4986800283228735,conditional_on_estimability,11,11,6,4989,5000,0.0021999999999999797,-0.0817540158727181,0.10397398994047458,2019,2024,69326,14122,577,195,-0.5190565653327756,0.6526359267016488,4999.0
phase_adjusted,post3_6_vs_reference,estimable,-0.1643853228212915,-0.55578573008757,0.22701508444498705,approximate_cross_city_t_df_10,-0.6976343181216087,0.42878942474153464,conditional_on_estimability,11,11,6,4989,5000,0.0021999999999999797,-0.2370296772852985,-0.04997461390806766,2019,2024,69326,14122,577,195,-0.7707459867068731,0.5435027750211096,4999.0
phase_adjusted,other_compound_vs_reference,estimable,1.8390177930484655,0.8198514599244928,2.8581841261724383,approximate_cross_city_t_df_10,1.0663958158411901,2.8411725444878404,conditional_on_estimability,11,11,11,5000,5000,0.0,1.4419670383052825,1.9770703750174317,2019,2024,69326,14122,577,195,1.0142580197819253,2.948659149644617,5000.0
period_2019_2022,episode_vs_reference,estimable,3.416250062939403,2.2797734450102345,4.552726680868571,approximate_cross_city_t_df_10,2.429283481979739,4.652456805636846,conditional_on_estimability,11,11,11,4666,5000,0.06679999999999997,2.9865813266292087,3.6084183982460325,2019,2022,46392,9416,361,128,2.391238052876405,4.7678385672324195,4776.0
period_2019_2022,heat_only_vs_reference,estimable,0.7236182507083657,0.03305150861100414,1.4141849928057273,approximate_cross_city_t_df_10,0.10747454512216242,1.3867789222651774,conditional_on_estimability,11,11,9,5000,5000,0.0,0.481497294545401,0.8529070822142545,2019,2022,46392,9416,361,128,0.0739177586715872,1.4264587354069709,5000.0
period_2019_2022,wind_only_vs_reference,estimable,2.859917323573849,2.0653148263240215,3.654519820823676,approximate_cross_city_t_df_10,2.183478993263789,3.55728319817822,conditional_on_estimability,11,11,11,5000,5000,0.0,2.6675641294133214,3.02607038125994,2019,2022,46392,9416,361,128,2.165923782311779,3.5654112620674483,5000.0
period_2019_2022,other_compound_vs_reference,estimable,3.056542363946456,1.6257952390944574,4.487289488798455,approximate_cross_city_t_df_10,1.961733187436343,4.464322854143287,conditional_on_estimability,11,11,11,5000,5000,0.0,2.5124357455120134,3.2993857831360187,2019,2022,46392,9416,361,128,1.8960397133760798,4.575280756916696,5000.0
period_2019_2022,episode_vs_heat_only,estimable,2.6926318122310366,1.9065879156946253,3.4786757087674482,approximate_cross_city_t_df_10,1.8511798605510101,3.5869843979226195,conditional_on_estimability,11,11,11,4666,5000,0.06679999999999997,2.5050840320838073,2.8635871594117326,2019,2022,46392,9416,361,128,1.8148697675046295,3.710039971918162,4776.0
period_2019_2022,episode_vs_wind_only,estimable,0.5563327393655538,-0.3611119254041345,1.4737774041352423,approximate_cross_city_t_df_10,-0.2852114018029941,1.6603743545020058,conditional_on_estimability,11,11,9,4666,5000,0.06679999999999997,0.20491220147412026,0.7371740171662775,2019,2022,46392,9416,361,128,-0.3985030090155831,1.6912136932120974,4776.0
period_2023_2024,episode_vs_reference,estimable,3.2640560936127856,1.7282371831204804,4.799875004105091,approximate_cross_city_t_df_10,1.9004587873075298,4.68433387949506,conditional_on_estimability,11,11,11,3904,5000,0.21919999999999995,2.8475377377213587,3.5513553786412912,2023,2024,22934,4706,216,67,1.8911192619977673,4.654941077799021,4178.0
period_2023_2024,heat_only_vs_reference,estimable,0.12162534651940747,-1.1209371529502148,1.3641878459890298,approximate_cross_city_t_df_10,-0.8259744458738313,1.2783433483024143,conditional_on_estimability,11,11,6,5000,5000,0.0,-0.3019860689763217,0.4188554303590216,2023,2024,22934,4706,216,67,-0.8676959297523271,1.3137886007343753,5000.0
period_2023_2024,wind_only_vs_reference,estimable,2.7904000582852997,2.051675281050563,3.529124835520036,approximate_cross_city_t_df_10,2.1598580522887847,3.4219009291079523,conditional_on_estimability,11,11,11,5000,5000,0.0,2.6330244747277196,2.937685865519156,2023,2024,22934,4706,216,67,2.154378227979176,3.4191891717793452,5000.0
period_2023_2024,other_compound_vs_reference,estimable,2.165505756482551,0.6712749494653474,3.659736563499754,approximate_cross_city_t_df_10,1.0115828116931436,3.8143591708844067,conditional_on_estimability,11,11,9,5000,5000,0.0,1.7122686143483148,2.442726848741852,2023,2024,22934,4706,216,67,0.9948296974144966,3.9329950387463883,5000.0
period_2023_2024,episode_vs_heat_only,estimable,3.142430747093378,2.1467617284369447,4.1380997657498115,approximate_cross_city_t_df_10,2.1793304230362858,4.191659928051319,conditional_on_estimability,11,11,11,3904,5000,0.21919999999999995,2.830611172792538,3.3409350397161837,2023,2024,22934,4706,216,67,2.1387623254933987,4.088585600240258,4178.0
period_2023_2024,episode_vs_wind_only,estimable,0.4736560353274848,-0.9643611219305879,1.9116731925855575,approximate_cross_city_t_df_10,-0.9045261903861265,1.7651983740153956,conditional_on_estimability,11,11,7,3904,5000,0.21919999999999995,0.09940334738702558,0.8399902943991127,2023,2024,22934,4706,216,67,-0.8706250049194727,1.759222692730508,4178.0
extension_2025,episode_vs_reference,estimable,2.920230995335799,1.2190752339490993,4.621386756722499,approximate_cross_city_t_df_10,1.7393210581035599,4.495782500615899,city_resampling_only_no_within_year_uncertainty,11,11,11,5000,5000,0.0,2.2634678423319934,3.112206849419645,2025,2025,11447,2347,86,31,1.7393210581035599,4.495782500615899,5000.0
extension_2025,heat_only_vs_reference,estimable,0.3668464177277828,-0.19605961991657483,0.9297524553721405,approximate_cross_city_t_df_10,-0.1295905824408149,0.8038753178308302,city_resampling_only_no_within_year_uncertainty,11,11,8,5000,5000,0.0,0.2446640700617199,0.5461339507877774,2025,2025,11447,2347,86,31,-0.1295905824408149,0.8038753178308302,5000.0
extension_2025,wind_only_vs_reference,estimable,2.5845115098468723,1.899656538360306,3.2693664813334387,approximate_cross_city_t_df_10,1.9887142115330703,3.1565484094080642,city_resampling_only_no_within_year_uncertainty,11,11,11,5000,5000,0.0,2.4649411251134707,2.7317580434374262,2025,2025,11447,2347,86,31,1.9887142115330703,3.1565484094080642,5000.0
extension_2025,other_compound_vs_reference,estimable,2.6107889130131055,1.4729256128447488,3.748652213181462,approximate_cross_city_t_df_10,1.7423012458520175,3.6480096179332797,city_resampling_only_no_within_year_uncertainty,11,11,11,5000,5000,0.0,2.257752251365091,2.779622304246872,2025,2025,11447,2347,86,31,1.7423012458520175,3.6480096179332797,5000.0
extension_2025,episode_vs_heat_only,estimable,2.553384577608016,0.6409225534192169,4.465846601796815,approximate_cross_city_t_df_10,1.1332665070862507,4.21983841374475,city_resampling_only_no_within_year_uncertainty,11,11,11,5000,5000,0.0,1.922313210428331,2.805229493472361,2025,2025,11447,2347,86,31,1.1332665070862507,4.21983841374475,5000.0
extension_2025,episode_vs_wind_only,estimable,0.3357194854889268,-1.5540935562805496,2.2255325272584034,approximate_cross_city_t_df_10,-0.9792346775699186,2.0739204087073513,city_resampling_only_no_within_year_uncertainty,11,11,5,5000,5000,0.0,-0.4040497261223521,0.596860224069922,2025,2025,11447,2347,86,31,-0.9792346775699186,2.0739204087073513,5000.0
exclude_2020,episode_vs_reference,estimable,3.2611406322281424,1.9389914595547308,4.583289804901554,approximate_cross_city_t_df_10,2.1906014487041294,4.600283106155309,conditional_on_estimability,11,11,11,4961,5000,0.007800000000000029,2.7711147284320807,3.4222299669195166,2019,2024,57523,11768,489,167,2.1500461210540047,4.626687498149163,4956.0
exclude_2020,heat_only_vs_reference,estimable,0.4988640320640166,-0.42102224325622767,1.418750307384261,approximate_cross_city_t_df_10,-0.27037980071148987,1.3584462329173603,conditional_on_estimability,11,11,7,5000,5000,0.0,0.16987907130020324,0.6818691467567322,2019,2024,57523,11768,489,167,-0.38521780975231007,1.378176706200336,5000.0
exclude_2020,wind_only_vs_reference,estimable,2.9170094442002794,2.143675905594863,3.6903429828056957,approximate_cross_city_t_df_10,2.2683554292232557,3.565040457747423,conditional_on_estimability,11,11,11,5000,5000,0.0,2.744044486752839,3.080380810648214,2019,2024,57523,11768,489,167,2.24624668717839,3.5932611951931532,5000.0
exclude_2020,other_compound_vs_reference,estimable,2.85099458683906,1.4064992319536702,4.295489941724449,approximate_cross_city_t_df_10,1.7177543613957134,4.259751231879791,conditional_on_estimability,11,11,11,5000,5000,0.0,2.3201614366591956,3.05344456263436,2019,2024,57523,11768,489,167,1.5814350525897656,4.336172733588557,5000.0
exclude_2020,episode_vs_heat_only,estimable,2.7622766001641255,2.006085375070549,3.518467825257702,approximate_cross_city_t_df_10,2.002192689951251,3.5713357296355253,conditional_on_estimability,11,11,11,4961,5000,0.007800000000000029,2.5839344417948533,2.9144567353465645,2019,2024,57523,11768,489,167,1.954659809962318,3.6575549918058927,4956.0
exclude_2020,episode_vs_wind_only,estimable,0.34413118802786313,-0.7516031113905782,1.4398654874463044,approximate_cross_city_t_df_10,-0.6079816655751181,1.5014092744441756,conditional_on_estimability,11,11,6,4961,5000,0.007800000000000029,-0.0771729485227973,0.5932510402726253,2019,2024,57523,11768,489,167,-0.622088025912721,1.4547715967995691,4956.0
city_median,episode_vs_reference,estimable,3.3581371502849193,2.1716840507141812,4.544590249855657,approximate_cross_city_t_df_10,2.3855020368870408,4.513201257590437,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.929709852487444,3.521886891951963,2019,2024,14122,14122,577,195,2.328690286919172,4.557081265762673,4999.0
city_median,heat_only_vs_reference,estimable,0.5375009508152501,-0.27681694109119814,1.3518188427216984,approximate_cross_city_t_df_10,-0.13338303823979358,1.3365555448709057,conditional_on_estimability,11,11,8,5000,5000,0.0,0.24853868530262982,0.681609323458723,2019,2024,14122,14122,577,195,-0.25505509938524445,1.3499348354746399,5000.0
city_median,wind_only_vs_reference,estimable,2.8970843450270025,2.0727263127996007,3.7214423772544043,approximate_cross_city_t_df_10,2.185342432060753,3.57871122600767,conditional_on_estimability,11,11,11,5000,5000,0.0,2.729154679143104,3.069466585691141,2019,2024,14122,14122,577,195,2.1682982451933452,3.5879730011491877,5000.0
city_median,other_compound_vs_reference,estimable,2.7929597996978086,1.3994308452414657,4.186488754154151,approximate_cross_city_t_df_10,1.6979586313344932,4.150887380499315,conditional_on_estimability,11,11,11,5000,5000,0.0,2.28800323457991,3.0166287648826158,2019,2024,14122,14122,577,195,1.6295273507135228,4.216149632951772,5000.0
city_median,episode_vs_heat_only,estimable,2.8206361994696696,2.025479514611864,3.615792884327475,approximate_cross_city_t_df_10,2.0323780776060314,3.586147968985962,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.6561230757660326,2.9877323600111203,2019,2024,14122,14122,577,195,1.9693551107541964,3.682101219877929,4999.0
city_median,episode_vs_wind_only,estimable,0.4610528052579165,-0.4467176856387316,1.3688232961545646,approximate_cross_city_t_df_10,-0.3179212454416051,1.4198345181492438,conditional_on_estimability,11,11,9,4989,5000,0.0021999999999999797,0.10728269299340028,0.657546911851392,2019,2024,14122,14122,577,195,-0.4578173478540662,1.4125777013971028,4999.0
