city,year,episode_id,start_date,end_date,duration_days,observed_episode_days,n_station_days,station_ids,days_with_direct_support,days_with_noncompound_support
Los Angeles,2025,los_angeles_2025-05-09,2025-05-09,2025-05-10,2,2,14,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,2,2
Los Angeles,2025,los_angeles_2025-08-06,2025-08-06,2025-08-08,3,3,20,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,3,3
Los Angeles,2025,los_angeles_2025-08-20,2025-08-20,2025-08-22,3,3,19,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,3,3
Los Angeles,2025,los_angeles_2025-08-30,2025-08-30,2025-09-01,3,3,21,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,3,3
Los Angeles,2025,los_angeles_2025-10-28,2025-10-28,2025-10-29,2,2,14,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,2,2
New York,2019,new_york_2019-06-26,2019-06-26,2019-06-28,3,3,26,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,3,3
New York,2019,new_york_2019-07-03,2019-07-03,2019-07-04,2,2,17,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,1,2
New York,2019,new_york_2019-07-15,2019-07-15,2019-07-16,2,2,18,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,1,2
New York,2019,new_york_2019-07-26,2019-07-26,2019-07-27,2,2,18,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,0,2
New York,2019,new_york_2019-08-03,2019-08-03,2019-08-04,2,2,18,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,2
