date,temperature_2m_max,wind_speed_10m_mean,relative_humidity_2m_mean,wind_direction_10m_dominant,precipitation_sum,shortwave_radiation_sum,city,year,month,weekday,warm,hot,calm,episode_id,pure_wind_run_id,pure_wind_run_days,low_wind_run_days,phase,regime,regime_factorial,persistent_wind_only,wind_duration_class,met_relative_humidity_2m_mean_0,met_relative_humidity_2m_mean_1,met_relative_humidity_2m_mean_2,met_precipitation_sum_0,met_precipitation_sum_1,met_precipitation_sum_2,met_shortwave_radiation_sum_0,met_shortwave_radiation_sum_1,met_shortwave_radiation_sum_2,wind_adjust_0,wind_adjust_1,wind_adjust_2,met_wind_sin,met_wind_cos
2024-12-05,3.8,22.34166666666667,71.95833333333333,255.66623223734143,4.2,8.4672,New York,2024,12,3,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.1354398236450692,0.3309794075983092,-0.11662221178883496,0.28911732288519437,0.7420188619241865,-0.0221393090787149,0.47452780287591173,-0.866171015768293,-0.08369688594197615,5.129289675611871,-26.382152695327996,23.898756081261272,-0.968869992122515,-0.24757006758596178
2024-12-06,1.8,17.258333333333333,51.375,290.67419901314656,0.0,7.6716,New York,2024,12,4,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.6220834047782731,-1.231600747317233,-0.08596708300256321,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.38721338564314883,-0.8690277842959807,-0.08937465836740234,3.22045243235116,-16.964695766915437,15.676039737033888,-0.9356031100035728,0.35305356612225636
2024-12-07,4.3,13.191666666666668,56.75,247.4381893988023,0.1,8.7696,New York,2024,12,5,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.6969777203594435,-1.1041287561964674,-0.08580252634250334,0.00295583838193426,-0.37572421898068836,-0.03846109273489765,0.5043516434601634,-0.8627976287587094,-0.08192085601329428,1.6933826377425936,-9.4307302241854,9.097866661651983,-0.923466156668883,-0.3836798893442319
2024-12-08,10.9,14.445833333333333,51.625,242.2172042253172,0.0,8.290799999999999,New York,2024,12,6,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.6291551591120393,-1.2294333077860342,-0.08579082042800121,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.45625146165584096,-0.8675409449323358,-0.08483275339721164,2.164333465792981,-11.754217548326526,11.126586021990049,-0.8847209774273938,-0.46612100585568667
2024-12-09,10.1,6.625,85.58333333333333,77.28944845806019,4.9,4.014,New York,2024,12,0,False,False,True,,,0,0,background,wind_only,wind_only,False,isolated_wind_only,-0.5329684485489689,0.7285282768185789,0.33042796131634083,0.11608164985550098,0.8303069142927264,-0.01833479594227134,-0.14437069827221383,-0.7936287643385891,-0.13026250705402917,0.19079571132333273,-0.04243472014230781,-0.22698064152491096,0.9754940407139703,0.22002585423429413
2024-12-10,9.5,8.070833333333333,94.33333333333331,86.93051949986891,3.3000000000000003,2.2176,New York,2024,12,1,False,False,True,,,0,0,background,wind_only,wind_only,False,isolated_wind_only,-0.1592211796989787,0.02348035850346629,0.9107440680766425,0.5501208435893389,0.5916290532942351,-0.021937827707839298,-0.45622848212012046,-0.7220651181540007,-0.15611132060148852,-0.22934838323386653,0.05567983250290732,0.8147260879222119,0.9985653345979971,0.05354691904479768
2024-12-11,15.9,16.691666666666666,91.79166666666669,194.3017496158318,42.5,1.1592,New York,2024,12,2,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.2895600105107352,0.26143435140419646,0.7321035383636174,-0.4946391302525359,0.6224706833933308,0.5671897370344415,-0.6467804874131157,-0.675268397901655,-0.17211461925743193,3.007664018348328,-15.914880896207155,14.759409062595426,-0.24702860301160579,-0.9690081884556675
2024-12-12,5.5,20.245833333333334,54.41666666666666,263.5591306619556,0.0,8.5716,New York,2024,12,3,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.685126396994146,-1.1811235913329277,-0.08490313506065697,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.48504189347258647,-0.8651544966683461,-0.08305899861406862,4.342285467939628,-22.499381519105437,20.508570572124896,-0.993688155058849,-0.11217776292893737
2024-12-13,1.0,10.308333333333334,51.833333333333336,293.7168152671604,0.0,9.1908,New York,2024,12,4,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.6347994511531518,-1.227366261280417,-0.08565562740953936,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.542596382368941,-0.8558576250723573,-0.07982142192326828,0.6106651194340593,-4.08902514675795,4.433834112303335,-0.91554458955996,0.4022164896265249
2024-12-14,1.9,6.5625,64.08333333333333,19.17440019685469,0.0,9.1512,New York,2024,12,5,False,False,True,,,0,0,background,wind_only,wind_only,False,isolated_wind_only,0.49219683882901494,-0.6084353917201943,-0.10000171560086404,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.5391687702400461,-0.8566243935269222,-0.07999971749901189,0.2363208746813287,-0.14766465500923837,-0.21693913322192662,0.3284446657590965,0.9445232138673963
