definition,comparator,city,year,supported_station_days,supported_strata,supported_city_days,supported_episode_station_days,supported_episode_city_days,supported_events
p80_p30_min3_sep7,persistent_wind_only,Houston,2020,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Houston,2021,119,49,15,49,6,2
p80_p30_min3_sep7,persistent_wind_only,Houston,2022,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Houston,2023,44,22,6,22,3,2
p80_p30_min3_sep7,persistent_wind_only,Houston,2024,221,71,25,150,17,3
p80_p30_min3_sep7,persistent_wind_only,Houston,2025,79,30,8,30,3,1
p80_p30_min3_sep7,persistent_wind_only,Los Angeles,2019,42,21,6,21,3,2
p80_p30_min3_sep7,persistent_wind_only,Los Angeles,2020,341,103,43,127,16,3
p80_p30_min3_sep7,persistent_wind_only,Los Angeles,2021,68,34,10,34,5,1
p80_p30_min3_sep7,persistent_wind_only,Los Angeles,2022,70,28,10,42,6,2
p80_p30_min3_sep7,persistent_wind_only,Los Angeles,2023,115,41,17,41,6,2
p80_p30_min3_sep7,persistent_wind_only,Los Angeles,2024,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Los Angeles,2025,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,New York,2019,24,8,3,8,1,1
p80_p30_min3_sep7,persistent_wind_only,New York,2020,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,New York,2021,98,49,12,49,6,2
p80_p30_min3_sep7,persistent_wind_only,New York,2022,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,New York,2023,68,31,9,31,4,1
p80_p30_min3_sep7,persistent_wind_only,New York,2024,32,16,4,16,2,1
p80_p30_min3_sep7,persistent_wind_only,New York,2025,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Philadelphia,2019,50,22,12,22,5,2
p80_p30_min3_sep7,persistent_wind_only,Philadelphia,2020,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Philadelphia,2021,81,34,17,34,7,2
p80_p30_min3_sep7,persistent_wind_only,Philadelphia,2022,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Philadelphia,2023,28,14,6,14,3,1
p80_p30_min3_sep7,persistent_wind_only,Philadelphia,2024,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Philadelphia,2025,8,4,2,4,1,1
p80_p30_min3_sep7,persistent_wind_only,Phoenix,2019,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Phoenix,2020,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Phoenix,2021,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Phoenix,2022,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Phoenix,2023,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Phoenix,2024,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Phoenix,2025,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,San Diego,2019,32,16,10,16,5,2
p80_p30_min3_sep7,persistent_wind_only,San Diego,2020,105,35,27,43,11,3
p80_p30_min3_sep7,persistent_wind_only,San Diego,2021,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,San Diego,2022,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,San Diego,2023,54,23,14,23,6,2
p80_p30_min3_sep7,persistent_wind_only,San Diego,2024,10,5,2,5,1,1
p80_p30_min3_sep7,persistent_wind_only,San Diego,2025,16,8,4,8,2,1
p80_p30_min3_sep7,persistent_wind_only,Seattle,2019,4,2,2,2,1,1
p80_p30_min3_sep7,persistent_wind_only,Seattle,2020,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Seattle,2021,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Seattle,2022,12,4,6,4,2,1
p80_p30_min3_sep7,persistent_wind_only,Seattle,2023,8,4,4,4,2,1
p80_p30_min3_sep7,persistent_wind_only,Seattle,2024,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Seattle,2025,15,6,5,6,2,2
