model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_pre1_6,days_post1_2,days_post3_6,days_other_compound
phase_adjusted,Phoenix,pre1_6_vs_reference,0.9490773280541718,-1.7913938502358464,3.68954850634419,approximate_delete_one_year_jackknife_t,-0.5533899236226294,2.830410208502824,conditional_on_estimability,4993,5991,1284,6,1414,16,8,6,16,16,383.04778726005156,3.052939374327255,16,46,16,32,34
phase_adjusted,Phoenix,post1_2_vs_reference,-0.2755014764448318,-1.6973017464615103,1.1462987935718467,approximate_delete_one_year_jackknife_t,-1.4996673122720923,0.7537182619052751,conditional_on_estimability,4993,5991,1284,6,1414,16,8,6,16,16,383.04778726005156,3.052939374327255,16,46,16,32,34
phase_adjusted,Phoenix,post3_6_vs_reference,0.5620582218187783,-2.793420129046507,3.917536572684064,approximate_delete_one_year_jackknife_t,-1.1117712415736811,4.9977444134498565,conditional_on_estimability,4993,5991,1284,6,1414,16,8,6,16,16,383.04778726005156,3.052939374327255,16,46,16,32,34
phase_adjusted,Phoenix,other_compound_vs_reference,1.8243180110755872,0.4158542509932721,3.232781771157902,approximate_delete_one_year_jackknife_t,1.0330033281334732,3.0278105629025305,conditional_on_estimability,5000,5991,1284,6,1414,16,8,6,16,16,383.04778726005156,3.052939374327255,16,46,16,32,34
phase_adjusted,San Diego,episode_vs_reference,1.284519066343953,0.4247506233985192,2.144287509289387,approximate_delete_one_year_jackknife_t,0.676900365585495,1.6764888527835664,conditional_on_estimability,5000,5051,1284,5,1198,78,28,6,16,16,579.1428408981807,1.701420639919798,78,134,55,99,36
phase_adjusted,San Diego,pre1_6_vs_reference,-0.07746236238680693,-0.394022660340233,0.23909793556661912,approximate_delete_one_year_jackknife_t,-0.2783400292880998,0.1649677279387376,conditional_on_estimability,5000,5051,1284,5,1198,78,28,6,16,16,579.1428408981807,1.701420639919798,78,134,55,99,36
phase_adjusted,San Diego,post1_2_vs_reference,-0.2697022730738827,-0.7161391441804429,0.17673459803267744,approximate_delete_one_year_jackknife_t,-0.5882893548217438,0.15184885528466285,conditional_on_estimability,5000,5051,1284,5,1198,78,28,6,16,16,579.1428408981807,1.701420639919798,78,134,55,99,36
phase_adjusted,San Diego,post3_6_vs_reference,-0.768886041802645,-1.3078200636002333,-0.22995202000505666,approximate_delete_one_year_jackknife_t,-1.3099057584858593,-0.43229189928917977,conditional_on_estimability,5000,5051,1284,5,1198,78,28,6,16,16,579.1428408981807,1.701420639919798,78,134,55,99,36
phase_adjusted,San Diego,other_compound_vs_reference,1.4025567911218535,0.37179655554689006,2.433317026696817,approximate_delete_one_year_jackknife_t,0.579128872107967,2.0924625325968638,conditional_on_estimability,5000,5051,1284,5,1198,78,28,6,16,16,579.1428408981807,1.701420639919798,78,134,55,99,36
phase_adjusted,Seattle,episode_vs_reference,5.408762617583925,2.09469207555093,8.722833159616918,approximate_delete_one_year_jackknife_t,2.9323545881164383,7.925092575670302,conditional_on_estimability,5000,2447,1282,2,587,39,15,6,16,16,537.7956838777972,3.58447785178864,39,60,30,46,67
phase_adjusted,Seattle,pre1_6_vs_reference,0.7282052420006555,-1.632635674091523,3.089046158092834,approximate_delete_one_year_jackknife_t,-1.1230363062443662,2.367434021711067,conditional_on_estimability,5000,2447,1282,2,587,39,15,6,16,16,537.7956838777972,3.58447785178864,39,60,30,46,67
phase_adjusted,Seattle,post1_2_vs_reference,-0.2280041183729895,-2.631892615601002,2.175884378855023,approximate_delete_one_year_jackknife_t,-1.7621286606639879,1.7398863569591407,conditional_on_estimability,5000,2447,1282,2,587,39,15,6,16,16,537.7956838777972,3.58447785178864,39,60,30,46,67
phase_adjusted,Seattle,post3_6_vs_reference,-0.12991453424633814,-4.1595479365143415,3.8997188680216652,approximate_delete_one_year_jackknife_t,-3.107343436653612,2.079597400500786,conditional_on_estimability,5000,2447,1282,2,587,39,15,6,16,16,537.7956838777972,3.58447785178864,39,60,30,46,67
phase_adjusted,Seattle,other_compound_vs_reference,5.809525340480296,2.6740155265253964,8.945035154435196,approximate_delete_one_year_jackknife_t,4.041057094090873,7.950028928106307,conditional_on_estimability,5000,2447,1282,2,587,39,15,6,16,16,537.7956838777972,3.58447785178864,39,60,30,46,67
