period,classification,city,regime,variable,n,mean,median,q25,q75,minimum,maximum,sd
2019_2024,regime,Dallas,heat_only,low_wind_run_days,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Dallas,neither,no2_ppb,686,5.507256203474246,4.9528986249999996,3.456167854166667,7.063778416666667,0.12916650000000002,22.16911075,3.096999391405075
2019_2024,regime,Dallas,neither,n_available_sites,686,3.6486880466472305,4.0,3.0,4.0,1.0,4.0,0.5996760916960083
2019_2024,regime,Dallas,neither,temperature_2m_max,686,28.43032069970845,29.5,25.2,32.8,5.3,35.0,5.335490499954409
2019_2024,regime,Dallas,neither,wind_speed_10m_mean,686,15.250983965014576,14.16875,11.484375,18.175,9.2,35.516666666666666,4.737749970249823
2019_2024,regime,Dallas,neither,relative_humidity_2m_mean,686,66.99757045675412,68.22916666666666,58.41666666666666,76.10416666666667,28.625,94.66666666666669,12.957169805184991
2019_2024,regime,Dallas,neither,precipitation_sum,686,4.371137026239067,0.1,0.0,2.975,0.0,91.3,10.325569460842605
2019_2024,regime,Dallas,neither,shortwave_radiation_sum,686,18.719569679300292,19.269,14.6709,23.796,1.5732,30.5676,6.350817183076548
2019_2024,regime,Dallas,neither,wind_direction_10m_dominant,686,158.6306770959727,163.08086885298417,120.32906164257258,180.32580708106585,0.5013497592401707,358.56904341628643,80.86440399491109
2019_2024,regime,Dallas,neither,pure_wind_run_days,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Dallas,neither,low_wind_run_days,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Dallas,other_compound,no2_ppb,39,6.534560130341881,6.2791665,4.777439458333333,8.00536675,2.593961,12.971558,2.590250055411285
2019_2024,regime,Dallas,other_compound,n_available_sites,39,3.4615384615384617,4.0,3.0,4.0,1.0,4.0,0.7198740330653559
2019_2024,regime,Dallas,other_compound,temperature_2m_max,39,36.47179487179486,36.2,35.4,36.6,35.1,41.5,1.5991689812209726
2019_2024,regime,Dallas,other_compound,wind_speed_10m_mean,39,7.7131410256410255,8.112499999999999,6.947916666666666,8.572916666666668,4.75,9.104166666666666,1.2350093587840947
2019_2024,regime,Dallas,other_compound,relative_humidity_2m_mean,39,57.125,58.208333333333336,49.833333333333336,63.333333333333336,37.375,79.25,10.178487519623655
2019_2024,regime,Dallas,other_compound,precipitation_sum,39,0.6282051282051282,0.0,0.0,0.3,0.0,9.3,1.7438536753482616
2019_2024,regime,Dallas,other_compound,shortwave_radiation_sum,39,24.44778461538462,24.2604,22.8384,26.4186,19.1952,29.2464,2.3867715571610275
2019_2024,regime,Dallas,other_compound,wind_direction_10m_dominant,39,144.21763546414152,145.95660174689905,106.77615526251158,166.3134255236137,6.600856170316927,336.5079350914337,63.63840045128297
2019_2024,regime,Dallas,other_compound,pure_wind_run_days,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Dallas,other_compound,low_wind_run_days,39,2.358974358974359,1.0,1.0,3.0,1.0,8.0,1.953231862798565
2019_2024,regime,Dallas,wind_only,no2_ppb,295,8.734645571751413,7.893750000000001,5.909384999999999,10.46498625,1.1422222499999999,23.42313075,3.8960724536970415
2019_2024,regime,Dallas,wind_only,n_available_sites,295,3.545762711864407,4.0,3.0,4.0,2.0,4.0,0.6148176085654546
2019_2024,regime,Dallas,wind_only,temperature_2m_max,295,30.03389830508474,30.9,28.15,32.9,15.4,35.0,3.9313501069088663
2019_2024,regime,Dallas,wind_only,wind_speed_10m_mean,295,7.37367231638418,7.454166666666667,6.387499999999999,8.364583333333332,4.316666666666666,9.179166666666667,1.200555742976423
2019_2024,regime,Dallas,wind_only,relative_humidity_2m_mean,295,66.89265536723164,67.66666666666667,58.5625,75.6875,37.583333333333336,95.45833333333331,12.007575387927943
2019_2024,regime,Dallas,wind_only,precipitation_sum,295,3.2159322033898308,0.0,0.0,1.05,0.0,83.0,9.329387246220719
2019_2024,regime,Dallas,wind_only,shortwave_radiation_sum,295,20.485098305084744,21.024,17.378999999999998,24.2352,2.6064,30.33,5.311192015118612
2019_2024,regime,Dallas,wind_only,wind_direction_10m_dominant,295,121.61907137014185,106.49605642888638,68.68599354160175,158.22755660767,1.7714764559631966,357.304433565903,73.97718983608624
2019_2024,regime,Dallas,wind_only,pure_wind_run_days,295,3.671186440677966,3.0,1.0,5.0,1.0,12.0,2.964130853525587
2019_2024,regime,Dallas,wind_only,low_wind_run_days,295,4.057627118644068,3.0,2.0,6.0,1.0,12.0,3.1287673014260684
2019_2024,regime,Denver,episode,no2_ppb,8,15.600926443749998,14.7242835,13.338812912500002,19.181261449999997,9.4681818,21.1762112,4.058680987047347
2019_2024,regime,Denver,episode,n_available_sites,8,4.625,5.0,4.0,5.0,4.0,5.0,0.5175491695067657
2019_2024,regime,Denver,episode,temperature_2m_max,8,34.599999999999994,34.15,33.775,35.525,33.0,36.9,1.3437686875776964
2019_2024,regime,Denver,episode,wind_speed_10m_mean,8,6.64375,6.71875,6.591666666666667,6.777083333333334,6.1125,6.866666666666667,0.23945001466654697
2019_2024,regime,Denver,episode,relative_humidity_2m_mean,8,41.28125,41.75,34.541666666666664,44.833333333333336,27.791666666666668,56.54166666666666,9.267405064363167
2019_2024,regime,Denver,episode,precipitation_sum,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Denver,episode,shortwave_radiation_sum,8,26.62335,26.2134,25.749899999999997,27.156599999999997,24.0768,29.8692,1.8450763259473655
2019_2024,regime,Denver,episode,wind_direction_10m_dominant,8,203.5360144312218,221.37259404169595,159.78306201027098,242.30877246450385,103.9661649912552,277.23448251272737,58.08936368942372
2019_2024,regime,Denver,episode,pure_wind_run_days,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Denver,episode,low_wind_run_days,8,2.25,2.0,2.0,2.25,2.0,3.0,0.4629100498862757
2019_2024,regime,Denver,heat_only,no2_ppb,223,15.225056863079224,15.2137946,12.8425,17.437276400000002,7.1721738,27.1843062,3.4860079265395636
2019_2024,regime,Denver,heat_only,n_available_sites,223,4.650224215246637,5.0,4.0,5.0,3.0,5.0,0.5643998997150583
2019_2024,regime,Denver,heat_only,temperature_2m_max,223,34.38206278026906,34.2,33.2,35.5,32.2,38.0,1.4154047126335945
2019_2024,regime,Denver,heat_only,wind_speed_10m_mean,223,8.96223841554559,8.579166666666667,7.74375,9.702083333333334,7.070833333333333,17.775000000000002,1.5791572852523736
2019_2024,regime,Denver,heat_only,relative_humidity_2m_mean,223,37.55624065769805,37.875,32.125,43.25,19.166666666666668,57.708333333333336,7.295531321133424
2019_2024,regime,Denver,heat_only,precipitation_sum,223,0.30493273542600896,0.0,0.0,0.3,0.0,5.7,0.687155561518181
2019_2024,regime,Denver,heat_only,shortwave_radiation_sum,223,26.354712107623318,26.3808,24.247799999999998,28.8612,16.8228,31.9104,2.9139840221953004
2019_2024,regime,Denver,heat_only,wind_direction_10m_dominant,223,224.73780667755372,232.92625734799597,201.8775137673039,260.1397780045878,9.977946400911712,353.09995287125,63.7164081672052
2019_2024,regime,Denver,heat_only,pure_wind_run_days,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Denver,heat_only,low_wind_run_days,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Denver,neither,no2_ppb,676,14.36059389366371,13.392174,10.415730625,16.98223615,3.5826089999999997,54.323715500000006,5.5658488051352375
2019_2024,regime,Denver,neither,n_available_sites,676,4.71301775147929,5.0,5.0,5.0,2.0,5.0,0.5420474815705824
2019_2024,regime,Denver,neither,temperature_2m_max,676,23.108136094674553,24.9,19.2,29.0,-6.3,32.1,7.541932678081267
2019_2024,regime,Denver,neither,wind_speed_10m_mean,676,9.336489151873767,8.627083333333335,7.7625,10.129166666666666,7.070833333333333,22.704166666666666,2.1965285591678905
2019_2024,regime,Denver,neither,relative_humidity_2m_mean,676,50.163399901380664,47.60416666666667,37.833333333333336,59.17708333333333,21.58333333333333,96.83333333333331,15.884719963040082
2019_2024,regime,Denver,neither,precipitation_sum,676,1.782544378698225,0.1,0.0,1.4,0.0,39.2,4.081530944373626
2019_2024,regime,Denver,neither,shortwave_radiation_sum,676,21.874084615384614,22.6458,18.0702,26.3349,4.7916,32.5188,5.7374866002457905
2019_2024,regime,Denver,neither,wind_direction_10m_dominant,676,178.44954801306517,202.61270776970247,86.47261849286538,248.92910314804791,0.2824470047790842,359.62828845668906,95.84508735064668
2019_2024,regime,Denver,neither,pure_wind_run_days,676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Denver,neither,low_wind_run_days,676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Denver,other_compound,no2_ppb,33,15.954436792929293,15.945579799999999,14.106434799999999,18.227826,7.3619565,27.3401524,3.724077577215477
