definition,comparator,city,year,supported_station_days,supported_strata,supported_city_days,supported_episode_station_days,supported_episode_city_days,supported_events
p80_p30_min2_allruns,persistent_wind_only,Dallas,2019,6,3,2,3,1,1
p80_p30_min2_allruns,persistent_wind_only,Dallas,2020,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Dallas,2021,98,39,30,39,12,4
p80_p30_min2_allruns,persistent_wind_only,Dallas,2022,39,17,17,17,7,3
p80_p30_min2_allruns,persistent_wind_only,Dallas,2023,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Dallas,2024,35,13,11,13,4,2
p80_p30_min2_allruns,persistent_wind_only,Dallas,2025,48,19,18,22,8,3
p80_p30_min2_allruns,persistent_wind_only,Denver,2019,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Denver,2020,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Denver,2021,10,5,2,5,1,1
p80_p30_min2_allruns,persistent_wind_only,Denver,2022,24,8,6,8,2,1
p80_p30_min2_allruns,persistent_wind_only,Denver,2023,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Denver,2024,18,9,4,9,2,1
p80_p30_min2_allruns,persistent_wind_only,Denver,2025,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Houston,2019,105,42,13,48,6,3
p80_p30_min2_allruns,persistent_wind_only,Houston,2020,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Houston,2021,257,92,32,99,12,5
p80_p30_min2_allruns,persistent_wind_only,Houston,2022,93,36,11,36,4,2
p80_p30_min2_allruns,persistent_wind_only,Houston,2023,44,22,6,22,3,2
p80_p30_min2_allruns,persistent_wind_only,Houston,2024,260,89,33,169,21,5
p80_p30_min2_allruns,persistent_wind_only,Houston,2025,188,60,19,70,7,3
p80_p30_min2_allruns,persistent_wind_only,Los Angeles,2019,54,27,8,27,4,3
p80_p30_min2_allruns,persistent_wind_only,Los Angeles,2020,373,103,47,159,20,5
p80_p30_min2_allruns,persistent_wind_only,Los Angeles,2021,68,34,10,34,5,1
p80_p30_min2_allruns,persistent_wind_only,Los Angeles,2022,70,28,10,42,6,2
p80_p30_min2_allruns,persistent_wind_only,Los Angeles,2023,150,55,22,55,8,3
p80_p30_min2_allruns,persistent_wind_only,Los Angeles,2024,162,52,25,52,8,4
p80_p30_min2_allruns,persistent_wind_only,Los Angeles,2025,49,14,7,14,2,1
p80_p30_min2_allruns,persistent_wind_only,New York,2019,109,42,13,59,7,5
