city,year,episode_id,event_mean_n_sites,control_mean_n_sites,site_count_difference,roster_jaccard,common_qualified_sites,common_site_ids,original_change_ppb,common_site_change_ppb
Los Angeles,2019,los_angeles_2019-08-25,7.0,7.0,0.0,1.0,6,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008,1.0301952142857154,3.1188535535714283
Los Angeles,2019,los_angeles_2019-09-12,7.0,7.0,0.0,1.0,6,06-037-0113;06-037-1103;06-037-1602;06-037-2005;06-037-4008;06-037-5005,1.900548845238092,5.708684976190476
Los Angeles,2020,los_angeles_2020-07-30,8.0,7.666666666666667,0.33333333333333304,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-5005,4.973524238095241,4.062860285714286
Los Angeles,2020,los_angeles_2020-08-26,8.0,8.0,0.0,1.0,8,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,1.2102271785714285,1.2102271785714267
Los Angeles,2021,los_angeles_2021-06-14,8.0,8.0,0.0,1.0,8,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,-1.3786774642857136,-1.3786774642857154
Los Angeles,2021,los_angeles_2021-08-26,7.75,8.0,-0.25,1.0,8,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,9.637463080357143,9.637463080357143
Los Angeles,2021,los_angeles_2021-09-04,7.0,8.0,-1.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4010;06-037-5005,2.130436821428569,2.523268285714284
Los Angeles,2022,los_angeles_2022-05-13,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,8.184970285714288,8.184970285714288
Los Angeles,2022,los_angeles_2022-08-13,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,-0.9376487142857162,-0.9376487142857144
Los Angeles,2022,los_angeles_2022-09-05,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,-5.113591595238097,-5.113591595238097
Los Angeles,2022,los_angeles_2022-09-23,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,2.1310967619047645,2.1310967619047645
Los Angeles,2023,los_angeles_2023-07-24,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,1.548809499999999,1.548809499999999
Los Angeles,2023,los_angeles_2023-08-27,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,7.897172946428572,7.897172946428572
Los Angeles,2024,los_angeles_2024-06-22,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,4.574549428571427,4.574549428571427
Los Angeles,2024,los_angeles_2024-09-07,5.0,7.0,-2.0,1.0,5,06-037-0113;06-037-1103;06-037-1602;06-037-2005;06-037-4008,6.932219714285715,5.631190642857138
Los Angeles,2024,los_angeles_2024-10-01,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,13.282440750000005,13.282440750000001
Los Angeles,2025,los_angeles_2025-05-09,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,5.475892214285714,5.475892214285714
Los Angeles,2025,los_angeles_2025-08-06,6.666666666666667,7.0,-0.33333333333333304,1.0,6,06-037-0113;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,4.872053857142856,4.052559071428571
Los Angeles,2025,los_angeles_2025-08-20,6.333333333333333,7.0,-0.666666666666667,1.0,5,06-037-0113;06-037-1103;06-037-1602;06-037-2005;06-037-4008,8.820932190476192,9.422916642857139
Los Angeles,2025,los_angeles_2025-08-30,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,2.3861473571428578,2.3861473571428578
Los Angeles,2025,los_angeles_2025-10-28,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,10.328719928571427,10.328719928571427
New York,2019,new_york_2019-06-26,8.666666666666666,8.333333333333334,0.33333333333333215,1.0,7,34-003-0010;34-013-0003;34-017-0006;34-017-1002;36-005-0110;36-005-0133;36-081-0124,3.779894904761907,2.907076857142858
New York,2019,new_york_2019-07-03,8.5,9.0,-0.5,1.0,8,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124,-3.08332442857143,-3.385650142857145
New York,2019,new_york_2019-07-15,9.0,9.0,0.0,1.0,9,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,4.160010357142857,4.160010357142857
New York,2019,new_york_2019-07-26,9.0,9.0,0.0,1.0,9,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,8.134565857142858,8.134565857142858
New York,2019,new_york_2019-08-03,9.0,8.5,0.5,1.0,8,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0133;36-081-0124;36-081-0125,-6.115896464285717,-6.040377928571427
New York,2019,new_york_2019-08-18,8.666666666666666,8.0,0.6666666666666661,1.0,7,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0133;36-081-0125,-2.9893397142857108,-3.8748949047619075
New York,2020,new_york_2020-07-02,9.0,9.0,0.0,1.0,9,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,0.1589285000000035,0.15892850000000358
New York,2020,new_york_2020-07-21,9.0,9.0,0.0,1.0,9,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,3.976190571428573,3.976190571428573
New York,2020,new_york_2020-07-29,9.0,9.0,0.0,1.0,9,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,3.275475428571428,3.2754754285714256
New York,2021,new_york_2021-06-08,8.5,9.0,-0.5,1.0,8,34-003-0010;34-013-0003;34-017-0006;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,-0.3019484285714267,-0.09528728571429212
New York,2021,new_york_2021-07-26,9.0,8.5,0.5,1.0,7,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0133;36-081-0125,5.466386071428573,6.311352214285716
New York,2021,new_york_2021-08-25,9.0,9.0,0.0,1.0,9,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,12.727543714285716,12.727543714285716
New York,2022,new_york_2022-07-03,9.0,9.0,0.0,1.0,9,34-003-0010;34-013-0003;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,-7.551181428571427,-7.551181428571427
